DEPARTAMENTO,MUNI,COD_MUNI
ANTIOQUIA,HISPANIA,05353
ANTIOQUIA,ITAGÜÍ,05360
ANTIOQUIA,ITUANGO,05361
ANTIOQUIA,JARDÍN,05364
ANTIOQUIA,JERICÓ,05368
ANTIOQUIA,LA CEJA,05376
ANTIOQUIA,LA ESTRELLA,05380
ANTIOQUIA,LA PINTADA,05390
ANTIOQUIA,LA UNIÓN,05400
ANTIOQUIA,LIBORINA,05411
ANTIOQUIA,MACEO,05425
ANTIOQUIA,MARINILLA,05440
ANTIOQUIA,MONTEBELLO,05467
ANTIOQUIA,MURINDÓ,05475
ANTIOQUIA,MUTATÁ,05480
ANTIOQUIA,NARIÑO,05483
ANTIOQUIA,NECOCLÍ,05490
ANTIOQUIA,NECHÍ,05495
ANTIOQUIA,OLAYA,05501
ANTIOQUIA,PEÑOL,05541
ANTIOQUIA,PEQUE,05543
ANTIOQUIA,PUEBLORRICO,05576
ANTIOQUIA,PUERTO BERRÍO,05579
ANTIOQUIA,PUERTO NARE,05585
ANTIOQUIA,PUERTO TRIUNFO,05591
ANTIOQUIA,REMEDIOS,05604
ANTIOQUIA,RETIRO,05607
ANTIOQUIA,RIONEGRO,05615
ANTIOQUIA,SABANALARGA,05628
ANTIOQUIA,SABANETA,05631
ANTIOQUIA,SALGAR,05642
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,05647
ANTIOQUIA,SAN CARLOS,05649
ANTIOQUIA,SAN FRANCISCO,05652
ANTIOQUIA,SAN JERÓNIMO,05656
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,05658
ANTIOQUIA,SAN JUAN DE URABÁ,05659
ANTIOQUIA,SAN LUIS,05660
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,05664
ANTIOQUIA,SAN PEDRO DE URABÁ,05665
ANTIOQUIA,SAN RAFAEL,05667
ANTIOQUIA,SAN ROQUE,05670
ANTIOQUIA,SAN VICENTE FERRER,05674
ANTIOQUIA,SANTA BÁRBARA,05679
ANTIOQUIA,SANTA ROSA DE OSOS,05686
ANTIOQUIA,SANTO DOMINGO,05690
ANTIOQUIA,EL SANTUARIO,05697
ANTIOQUIA,SEGOVIA,05736
ANTIOQUIA,SONSÓN,05756
ANTIOQUIA,SOPETRÁN,05761
ANTIOQUIA,TÁMESIS,05789
ANTIOQUIA,TARAZÁ,05790
ANTIOQUIA,TARSO,05792
ANTIOQUIA,TITIRIBÍ,05809
ANTIOQUIA,TOLEDO,05819
ANTIOQUIA,TURBO,05837
ANTIOQUIA,URAMITA,05842
ANTIOQUIA,URRAO,05847
ANTIOQUIA,VALDIVIA,05854
ANTIOQUIA,VALPARAÍSO,05856
ANTIOQUIA,VEGACHÍ,05858
ANTIOQUIA,VENECIA,05861
ANTIOQUIA,VIGÍA DEL FUERTE,05873
ANTIOQUIA,YALÍ,05885
ANTIOQUIA,YARUMAL,05887
ANTIOQUIA,YOLOMBÓ,05890
ANTIOQUIA,YONDÓ,05893
ANTIOQUIA,ZARAGOZA,05895
ATLÁNTICO,BARRANQUILLA,08001
ATLÁNTICO,BARANOA,08078
ATLÁNTICO,CAMPO DE LA CRUZ,08137
ATLÁNTICO,CANDELARIA,08141
ATLÁNTICO,GALAPA,08296
ATLÁNTICO,JUAN DE ACOSTA,08372
ATLÁNTICO,LURUACO,08421
ATLÁNTICO,MALAMBO,08433
ATLÁNTICO,MANATÍ,08436
ATLÁNTICO,PALMAR DE VARELA,08520
ATLÁNTICO,PIOJÓ,08549
ATLÁNTICO,POLONUEVO,08558
ATLÁNTICO,PONEDERA,08560
ATLÁNTICO,PUERTO COLOMBIA,08573
ATLÁNTICO,REPELÓN,08606
ATLÁNTICO,SABANAGRANDE,08634
ATLÁNTICO,SABANALARGA,08638
ATLÁNTICO,SANTA LUCÍA,08675
ATLÁNTICO,SANTO TOMÁS,08685
ATLÁNTICO,SOLEDAD,08758
ATLÁNTICO,SUAN,08770
ATLÁNTICO,TUBARÁ,08832
ATLÁNTICO,USIACURÍ,08849
"BOGOTÁ, D. C.","BOGOTÁ, D.C.",11001
BOLÍVAR,CARTAGENA DE INDIAS,13001
BOLÍVAR,ACHÍ,13006
BOLÍVAR,ALTOS DEL ROSARIO,13030
BOLÍVAR,ARENAL,13042
BOLÍVAR,ARJONA,13052
BOLÍVAR,ARROYOHONDO,13062
BOLÍVAR,BARRANCO DE LOBA,13074
BOLÍVAR,CALAMAR,13140
BOLÍVAR,CANTAGALLO,13160
BOLÍVAR,CICUCO,13188
BOLÍVAR,CÓRDOBA,13212
BOLÍVAR,CLEMENCIA,13222
BOLÍVAR,EL CARMEN DE BOLÍVAR,13244
BOLÍVAR,EL GUAMO,13248
BOLÍVAR,EL PEÑÓN,13268
BOLÍVAR,HATILLO DE LOBA,13300
BOLÍVAR,MAGANGUÉ,13430
BOLÍVAR,MAHATES,13433
BOLÍVAR,MARGARITA,13440
BOLÍVAR,MARÍA LA BAJA,13442
BOLÍVAR,MONTECRISTO,13458
BOLÍVAR,MOMPÓS,13468
BOLÍVAR,MORALES,13473
BOLÍVAR,NOROSÍ,13490
BOLÍVAR,PINILLOS,13549
BOLÍVAR,REGIDOR,13580
BOLÍVAR,RÍO VIEJO,13600
BOLÍVAR,SAN CRISTÓBAL,13620
BOLÍVAR,SAN ESTANISLAO,13647
BOLÍVAR,SAN FERNANDO,13650
BOLÍVAR,SAN JACINTO,13654
BOLÍVAR,SAN JACINTO DEL CAUCA,13655
BOLÍVAR,SAN JUAN NEPOMUCENO,13657
BOLÍVAR,SAN MARTÍN DE LOBA,13667
BOLÍVAR,SAN PABLO,13670
BOLÍVAR,SANTA CATALINA,13673
BOLÍVAR,SANTA ROSA,13683
BOLÍVAR,SANTA ROSA DEL SUR,13688
BOLÍVAR,SIMITÍ,13744
BOLÍVAR,SOPLAVIENTO,13760
BOLÍVAR,TALAIGUA NUEVO,13780
BOLÍVAR,TIQUISIO,13810
BOLÍVAR,TURBACO,13836
BOLÍVAR,TURBANÁ,13838
BOLÍVAR,VILLANUEVA,13873
BOLÍVAR,ZAMBRANO,13894
BOYACÁ,TUNJA,15001
BOYACÁ,ALMEIDA,15022
BOYACÁ,AQUITANIA,15047
BOYACÁ,ARCABUCO,15051
BOYACÁ,BELÉN,15087
BOYACÁ,BERBEO,15090
BOYACÁ,BETÉITIVA,15092
BOYACÁ,BOAVITA,15097
BOYACÁ,BOYACÁ,15104
BOYACÁ,BRICEÑO,15106
BOYACÁ,BUENAVISTA,15109
BOYACÁ,BUSBANZÁ,15114
BOYACÁ,CALDAS,15131
BOYACÁ,CAMPOHERMOSO,15135
BOYACÁ,CERINZA,15162
BOYACÁ,CHINAVITA,15172
BOYACÁ,CHIQUINQUIRÁ,15176
BOYACÁ,CHISCAS,15180
BOYACÁ,CHITA,15183
BOYACÁ,CHITARAQUE,15185
BOYACÁ,CHIVATÁ,15187
BOYACÁ,CIÉNEGA,15189
BOYACÁ,CÓMBITA,15204
BOYACÁ,COPER,15212
BOYACÁ,CORRALES,15215
BOYACÁ,COVARACHÍA,15218
BOYACÁ,CUBARÁ,15223
BOYACÁ,CUCAITA,15224
BOYACÁ,CUÍTIVA,15226
BOYACÁ,CHÍQUIZA,15232
BOYACÁ,CHIVOR,15236
BOYACÁ,DUITAMA,15238
BOYACÁ,EL COCUY,15244
BOYACÁ,EL ESPINO,15248
BOYACÁ,FIRAVITOBA,15272
BOYACÁ,FLORESTA,15276
BOYACÁ,GACHANTIVÁ,15293
BOYACÁ,GÁMEZA,15296
BOYACÁ,GARAGOA,15299
BOYACÁ,GUACAMAYAS,15317
BOYACÁ,GUATEQUE,15322
BOYACÁ,GUAYATÁ,15325
BOYACÁ,GÜICÁN DE LA SIERRA,15332
BOYACÁ,IZA,15362
BOYACÁ,JENESANO,15367
BOYACÁ,JERICÓ,15368
BOYACÁ,LABRANZAGRANDE,15377
BOYACÁ,LA CAPILLA,15380
BOYACÁ,LA VICTORIA,15401
BOYACÁ,LA UVITA,15403
BOYACÁ,VILLA DE LEYVA,15407
BOYACÁ,MACANAL,15425
BOYACÁ,MARIPÍ,15442
BOYACÁ,MIRAFLORES,15455
BOYACÁ,MONGUA,15464
BOYACÁ,MONGUÍ,15466
BOYACÁ,MONIQUIRÁ,15469
BOYACÁ,MOTAVITA,15476
BOYACÁ,MUZO,15480
BOYACÁ,NOBSA,15491
BOYACÁ,NUEVO COLÓN,15494
BOYACÁ,OICATÁ,15500
BOYACÁ,OTANCHE,15507
BOYACÁ,PACHAVITA,15511
BOYACÁ,PÁEZ,15514
BOYACÁ,PAIPA,15516
BOYACÁ,PAJARITO,15518
BOYACÁ,PANQUEBA,15522
BOYACÁ,PAUNA,15531
BOYACÁ,PAYA,15533
BOYACÁ,PAZ DE RÍO,15537
BOYACÁ,PESCA,15542
BOYACÁ,PISBA,15550
BOYACÁ,PUERTO BOYACÁ,15572
BOYACÁ,QUÍPAMA,15580
BOYACÁ,RAMIRIQUÍ,15599
BOYACÁ,RÁQUIRA,15600
BOYACÁ,RONDÓN,15621
BOYACÁ,SABOYÁ,15632
BOYACÁ,SÁCHICA,15638
BOYACÁ,SAMACÁ,15646
BOYACÁ,SAN EDUARDO,15660
BOYACÁ,SAN JOSÉ DE PARE,15664
BOYACÁ,SAN LUIS DE GACENO,15667
BOYACÁ,SAN MATEO,15673
BOYACÁ,SAN MIGUEL DE SEMA,15676
BOYACÁ,SAN PABLO DE BORBUR,15681
BOYACÁ,SANTANA,15686
BOYACÁ,SANTA MARÍA,15690
BOYACÁ,SANTA ROSA DE VITERBO,15693
BOYACÁ,SANTA SOFÍA,15696
BOYACÁ,SATIVANORTE,15720
BOYACÁ,SATIVASUR,15723
BOYACÁ,SIACHOQUE,15740
BOYACÁ,SOATÁ,15753
BOYACÁ,SOCOTÁ,15755
BOYACÁ,SOCHA,15757
BOYACÁ,SOGAMOSO,15759
BOYACÁ,SOMONDOCO,15761
BOYACÁ,SORA,15762
BOYACÁ,SOTAQUIRÁ,15763
BOYACÁ,SORACÁ,15764
BOYACÁ,SUSACÓN,15774
BOYACÁ,SUTAMARCHÁN,15776
BOYACÁ,SUTATENZA,15778
BOYACÁ,TASCO,15790
BOYACÁ,TENZA,15798
BOYACÁ,TIBANÁ,15804
BOYACÁ,TIBASOSA,15806
BOYACÁ,TINJACÁ,15808
BOYACÁ,TIPACOQUE,15810
BOYACÁ,TOCA,15814
BOYACÁ,TOGÜÍ,15816
BOYACÁ,TÓPAGA,15820
BOYACÁ,TOTA,15822
BOYACÁ,TUNUNGUÁ,15832
BOYACÁ,TURMEQUÉ,15835
BOYACÁ,TUTA,15837
BOYACÁ,TUTAZÁ,15839
BOYACÁ,ÚMBITA,15842
BOYACÁ,VENTAQUEMADA,15861
BOYACÁ,VIRACACHÁ,15879
BOYACÁ,ZETAQUIRA,15897
CALDAS,MANIZALES,17001
CALDAS,AGUADAS,17013
CALDAS,ANSERMA,17042
CALDAS,ARANZAZU,17050
CALDAS,BELALCÁZAR,17088
CALDAS,CHINCHINÁ,17174
CALDAS,FILADELFIA,17272
CALDAS,LA DORADA,17380
CALDAS,LA MERCED,17388
CALDAS,MANZANARES,17433
CALDAS,MARMATO,17442
CALDAS,MARQUETALIA,17444
CALDAS,MARULANDA,17446
CALDAS,NEIRA,17486
CALDAS,NORCASIA,17495
CALDAS,PÁCORA,17513
CALDAS,PALESTINA,17524
CALDAS,PENSILVANIA,17541
CALDAS,RIOSUCIO,17614
CALDAS,RISARALDA,17616
CALDAS,SALAMINA,17653
CALDAS,SAMANÁ,17662
CALDAS,SAN JOSÉ,17665
CALDAS,SUPÍA,17777
CALDAS,VICTORIA,17867
CALDAS,VILLAMARÍA,17873
CALDAS,VITERBO,17877
CAQUETÁ,FLORENCIA,18001
CAQUETÁ,ALBANIA,18029
CAQUETÁ,BELÉN DE LOS ANDAQUÍES,18094
CAQUETÁ,CARTAGENA DEL CHAIRÁ,18150
CAQUETÁ,CURILLO,18205
CAQUETÁ,EL DONCELLO,18247
CAQUETÁ,EL PAUJÍL,18256
CAQUETÁ,LA MONTAÑITA,18410
CAQUETÁ,MILÁN,18460
CAQUETÁ,MORELIA,18479
CAQUETÁ,PUERTO RICO,18592
CAQUETÁ,SAN JOSÉ DEL FRAGUA,18610
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753
CAQUETÁ,SOLANO,18756
CAQUETÁ,SOLITA,18785
CAQUETÁ,VALPARAÍSO,18860
CAUCA,POPAYÁN,19001
CAUCA,ALMAGUER,19022
CAUCA,ARGELIA,19050
CAUCA,BALBOA,19075
CAUCA,BOLÍVAR,19100
CAUCA,BUENOS AIRES,19110
CAUCA,CAJIBÍO,19130
CAUCA,CALDONO,19137
CAUCA,CALOTO,19142
CAUCA,CORINTO,19212
CAUCA,EL TAMBO,19256
CAUCA,FLORENCIA,19290
CAUCA,GUACHENÉ,19300
CAUCA,GUAPÍ,19318
CAUCA,INZÁ,19355
CAUCA,JAMBALÓ,19364
CAUCA,LA SIERRA,19392
CAUCA,LA VEGA,19397
CAUCA,LÓPEZ DE MICAY,19418
CAUCA,MERCADERES,19450
CAUCA,MIRANDA,19455
CAUCA,MORALES,19473
CAUCA,PADILLA,19513
CAUCA,PÁEZ,19517
CAUCA,PATÍA,19532
CAUCA,PIAMONTE,19533
CAUCA,PIENDAMÓ,19548
CAUCA,PUERTO TEJADA,19573
CAUCA,PURACÉ,19585
CAUCA,ROSAS,19622
CAUCA,SAN SEBASTIÁN,19693
CAUCA,SANTANDER DE QUILICHAO,19698
CAUCA,SANTA ROSA,19701
CAUCA,SILVIA,19743
CAUCA,SOTARA,19760
CAUCA,SUÁREZ,19780
CAUCA,SUCRE,19785
CAUCA,TIMBÍO,19807
CAUCA,TIMBIQUÍ,19809
CAUCA,TORIBÍO,19821
CAUCA,TOTORÓ,19824
CAUCA,VILLA RICA,19845
CESAR,VALLEDUPAR,20001
CESAR,AGUACHICA,20011
CESAR,AGUSTÍN CODAZZI,20013
CESAR,ASTREA,20032
CESAR,BECERRIL,20045
CESAR,BOSCONIA,20060
CESAR,CHIMICHAGUA,20175
CESAR,CHIRIGUANÁ,20178
CESAR,CURUMANÍ,20228
CESAR,EL COPEY,20238
CESAR,EL PASO,20250
CESAR,GAMARRA,20295
CESAR,GONZÁLEZ,20310
CESAR,LA GLORIA,20383
CESAR,LA JAGUA DE IBIRICO,20400
CESAR,MANAURE BALCÓN DEL CESAR,20443
CESAR,PAILITAS,20517
CESAR,PELAYA,20550
CESAR,PUEBLO BELLO,20570
CESAR,RÍO DE ORO,20614
CESAR,LA PAZ,20621
CESAR,SAN ALBERTO,20710
CESAR,SAN DIEGO,20750
CESAR,SAN MARTÍN,20770
CESAR,TAMALAMEQUE,20787
CÓRDOBA,MONTERÍA,23001
CÓRDOBA,AYAPEL,23068
CÓRDOBA,BUENAVISTA,23079
CÓRDOBA,CANALETE,23090
CÓRDOBA,CERETÉ,23162
CÓRDOBA,CHIMÁ,23168
CÓRDOBA,CHINÚ,23182
CÓRDOBA,CIÉNAGA DE ORO,23189
CÓRDOBA,COTORRA,23300
CÓRDOBA,LA APARTADA,23350
CÓRDOBA,LORICA,23417
CÓRDOBA,LOS CÓRDOBAS,23419
CÓRDOBA,MOMIL,23464
CÓRDOBA,MONTELÍBANO,23466
CÓRDOBA,MOÑITOS,23500
CÓRDOBA,PLANETA RICA,23555
CÓRDOBA,PUEBLO NUEVO,23570
CÓRDOBA,PUERTO ESCONDIDO,23574
CÓRDOBA,PUERTO LIBERTADOR,23580
CÓRDOBA,PURÍSIMA DE LA CONCEPCIÓN,23586
CÓRDOBA,SAHAGÚN,23660
CÓRDOBA,SAN ANDRÉS DE SOTAVENTO,23670
CÓRDOBA,SAN ANTERO,23672
CÓRDOBA,SAN BERNARDO DEL VIENTO,23675
CÓRDOBA,SAN CARLOS,23678
CÓRDOBA,SAN JOSÉ DE URÉ,23682
CÓRDOBA,SAN PELAYO,23686
CÓRDOBA,TIERRALTA,23807
CÓRDOBA,TUCHÍN,23815
CÓRDOBA,VALENCIA,23855
CUNDINAMARCA,AGUA DE DIOS,25001
CUNDINAMARCA,ALBÁN,25019
CUNDINAMARCA,ANAPOIMA,25035
CUNDINAMARCA,ANOLAIMA,25040
CUNDINAMARCA,ARBELÁEZ,25053
CUNDINAMARCA,BELTRÁN,25086
CUNDINAMARCA,BITUIMA,25095
CUNDINAMARCA,BOJACÁ,25099
CUNDINAMARCA,CABRERA,25120
CUNDINAMARCA,CACHIPAY,25123
CUNDINAMARCA,CAJICÁ,25126
CUNDINAMARCA,CAPARRAPÍ,25148
CUNDINAMARCA,CÁQUEZA,25151
CUNDINAMARCA,CARMEN DE CARUPA,25154
CUNDINAMARCA,CHAGUANÍ,25168
CUNDINAMARCA,CHÍA,25175
CUNDINAMARCA,CHIPAQUE,25178
CUNDINAMARCA,CHOACHÍ,25181
CUNDINAMARCA,CHOCONTÁ,25183
CUNDINAMARCA,COGUA,25200
CUNDINAMARCA,COTA,25214
CUNDINAMARCA,CUCUNUBÁ,25224
CUNDINAMARCA,EL COLEGIO,25245
CUNDINAMARCA,EL PEÑÓN,25258
CUNDINAMARCA,EL ROSAL,25260
CUNDINAMARCA,FACATATIVÁ,25269
CUNDINAMARCA,FÓMEQUE,25279
CUNDINAMARCA,FOSCA,25281
CUNDINAMARCA,FUNZA,25286
CUNDINAMARCA,FÚQUENE,25288
CUNDINAMARCA,FUSAGASUGÁ,25290
CUNDINAMARCA,GACHALÁ,25293
CUNDINAMARCA,GACHANCIPÁ,25295
CUNDINAMARCA,GACHETÁ,25297
CUNDINAMARCA,GAMA,25299
CUNDINAMARCA,GIRARDOT,25307
CUNDINAMARCA,GRANADA,25312
CUNDINAMARCA,GUACHETÁ,25317
CUNDINAMARCA,GUADUAS,25320
CUNDINAMARCA,GUASCA,25322
CUNDINAMARCA,GUATAQUÍ,25324
CUNDINAMARCA,GUATAVITA,25326
CUNDINAMARCA,GUAYABAL DE SÍQUIMA,25328
CUNDINAMARCA,GUAYABETAL,25335
CUNDINAMARCA,GUTIÉRREZ,25339
CUNDINAMARCA,JERUSALÉN,25368
CUNDINAMARCA,JUNÍN,25372
CUNDINAMARCA,LA CALERA,25377
CUNDINAMARCA,LA MESA,25386
CUNDINAMARCA,LA PALMA,25394
CUNDINAMARCA,LA PEÑA,25398
CUNDINAMARCA,LA VEGA,25402
CUNDINAMARCA,LENGUAZAQUE,25407
CUNDINAMARCA,MACHETÁ,25426
CUNDINAMARCA,MADRID,25430
CUNDINAMARCA,MANTA,25436
CUNDINAMARCA,MEDINA,25438
CUNDINAMARCA,MOSQUERA,25473
CUNDINAMARCA,NARIÑO,25483
CUNDINAMARCA,NEMOCÓN,25486
CUNDINAMARCA,NILO,25488
CUNDINAMARCA,NIMAIMA,25489
CUNDINAMARCA,NOCAIMA,25491
CUNDINAMARCA,VENECIA,25506
CUNDINAMARCA,PACHO,25513
CUNDINAMARCA,PAIME,25518
CUNDINAMARCA,PANDI,25524
CUNDINAMARCA,PARATEBUENO,25530
CUNDINAMARCA,PASCA,25535
CUNDINAMARCA,PUERTO SALGAR,25572
CUNDINAMARCA,PULÍ,25580
CUNDINAMARCA,QUEBRADANEGRA,25592
CUNDINAMARCA,QUETAME,25594
CUNDINAMARCA,QUIPILE,25596
CUNDINAMARCA,APULO,25599
CUNDINAMARCA,RICAURTE,25612
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,25645
CUNDINAMARCA,SAN BERNARDO,25649
CUNDINAMARCA,SAN CAYETANO,25653
CUNDINAMARCA,SAN FRANCISCO,25658
CUNDINAMARCA,SAN JUAN DE RIOSECO,25662
CUNDINAMARCA,SASAIMA,25718
CUNDINAMARCA,SESQUILÉ,25736
CUNDINAMARCA,SIBATÉ,25740
CUNDINAMARCA,SILVANIA,25743
CUNDINAMARCA,SIMIJACA,25745
CUNDINAMARCA,SOACHA,25754
CUNDINAMARCA,SOPÓ,25758
CUNDINAMARCA,SUBACHOQUE,25769
CUNDINAMARCA,SUESCA,25772
CUNDINAMARCA,SUPATÁ,25777
CUNDINAMARCA,SUSA,25779
CUNDINAMARCA,SUTATAUSA,25781
CUNDINAMARCA,TABIO,25785
CUNDINAMARCA,TAUSA,25793
CUNDINAMARCA,TENA,25797
CUNDINAMARCA,TENJO,25799
CUNDINAMARCA,TIBACUY,25805
CUNDINAMARCA,TIBIRITA,25807
CUNDINAMARCA,TOCAIMA,25815
CUNDINAMARCA,TOCANCIPÁ,25817
CUNDINAMARCA,TOPAIPÍ,25823
CUNDINAMARCA,UBALÁ,25839
CUNDINAMARCA,UBAQUE,25841
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATÉ,25843
CUNDINAMARCA,UNE,25845
CUNDINAMARCA,ÚTICA,25851
CUNDINAMARCA,VERGARA,25862
CUNDINAMARCA,VIANÍ,25867
CUNDINAMARCA,VILLAGÓMEZ,25871
CUNDINAMARCA,VILLAPINZÓN,25873
CUNDINAMARCA,VILLETA,25875
CUNDINAMARCA,VIOTÁ,25878
CUNDINAMARCA,YACOPÍ,25885
CUNDINAMARCA,ZIPACÓN,25898
CUNDINAMARCA,ZIPAQUIRÁ,25899
CHOCÓ,QUIBDÓ,27001
CHOCÓ,ACANDÍ,27006
CHOCÓ,ALTO BAUDÓ,27025
CHOCÓ,ATRATO,27050
CHOCÓ,BAGADÓ,27073
CHOCÓ,BAHÍA SOLANO,27075
CHOCÓ,BAJO BAUDÓ,27077
CHOCÓ,BOJAYÁ,27099
CHOCÓ,EL CANTÓN DEL SAN PABLO,27135
CHOCÓ,CARMEN DEL DARIÉN,27150
CHOCÓ,CÉRTEGUI,27160
CHOCÓ,CONDOTO,27205
CHOCÓ,EL CARMEN DE ATRATO,27245
CHOCÓ,EL LITORAL DEL SAN JUAN,27250
CHOCÓ,ISTMINA,27361
CHOCÓ,JURADÓ,27372
CHOCÓ,LLORÓ,27413
CHOCÓ,MEDIO ATRATO,27425
CHOCÓ,MEDIO BAUDÓ,27430
CHOCÓ,MEDIO SAN JUAN,27450
CHOCÓ,NÓVITA,27491
CHOCÓ,NUQUÍ,27495
CHOCÓ,RÍO IRÓ,27580
CHOCÓ,RÍO QUITO,27600
CHOCÓ,RIOSUCIO,27615
CHOCÓ,SAN JOSÉ DEL PALMAR,27660
CHOCÓ,SIPÍ,27745
CHOCÓ,TADÓ,27787
CHOCÓ,UNGUÍA,27800
CHOCÓ,UNIÓN PANAMERICANA,27810
HUILA,NEIVA,41001
HUILA,ACEVEDO,41006
HUILA,AGRADO,41013
HUILA,AIPE,41016
HUILA,ALGECIRAS,41020
HUILA,ALTAMIRA,41026
HUILA,BARAYA,41078
HUILA,CAMPOALEGRE,41132
HUILA,COLOMBIA,41206
HUILA,ELÍAS,41244
HUILA,GARZÓN,41298
HUILA,GIGANTE,41306
HUILA,GUADALUPE,41319
HUILA,HOBO,41349
HUILA,ÍQUIRA,41357
HUILA,ISNOS,41359
HUILA,LA ARGENTINA,41378
HUILA,LA PLATA,41396
HUILA,NÁTAGA,41483
HUILA,OPORAPA,41503
HUILA,PAICOL,41518
HUILA,PALERMO,41524
HUILA,PALESTINA,41530
HUILA,PITAL,41548
HUILA,PITALITO,41551
HUILA,RIVERA,41615
HUILA,SALADOBLANCO,41660
HUILA,SAN AGUSTÍN,41668
HUILA,SANTA MARÍA,41676
HUILA,SUAZA,41770
HUILA,TARQUI,41791
HUILA,TESALIA,41797
HUILA,TELLO,41799
HUILA,TERUEL,41801
HUILA,TIMANÁ,41807
HUILA,VILLAVIEJA,41872
HUILA,YAGUARÁ,41885
LA GUAJIRA,RIOHACHA,44001
LA GUAJIRA,ALBANIA,44035
LA GUAJIRA,BARRANCAS,44078
LA GUAJIRA,DIBULLA,44090
LA GUAJIRA,DISTRACCIÓN,44098
LA GUAJIRA,EL MOLINO,44110
LA GUAJIRA,FONSECA,44279
LA GUAJIRA,HATONUEVO,44378
LA GUAJIRA,LA JAGUA DEL PILAR,44420
LA GUAJIRA,MAICAO,44430
LA GUAJIRA,MANAURE,44560
LA GUAJIRA,SAN JUAN DEL CESAR,44650
LA GUAJIRA,URIBIA,44847
LA GUAJIRA,URUMITA,44855
LA GUAJIRA,VILLANUEVA,44874
MAGDALENA,SANTA MARTA,47001
MAGDALENA,ALGARROBO,47030
MAGDALENA,ARACATACA,47053
MAGDALENA,ARIGUANÍ,47058
MAGDALENA,CERRO DE SAN ANTONIO,47161
MAGDALENA,CHIVOLO,47170
MAGDALENA,CIÉNAGA,47189
MAGDALENA,CONCORDIA,47205
MAGDALENA,EL BANCO,47245
MAGDALENA,EL PIÑÓN,47258
MAGDALENA,EL RETÉN,47268
MAGDALENA,FUNDACIÓN,47288
MAGDALENA,GUAMAL,47318
MAGDALENA,NUEVA GRANADA,47460
MAGDALENA,PEDRAZA,47541
MAGDALENA,PIJIÑO DEL CARMEN,47545
MAGDALENA,PIVIJAY,47551
MAGDALENA,PLATO,47555
MAGDALENA,PUEBLOVIEJO,47570
MAGDALENA,REMOLINO,47605
MAGDALENA,SABANAS DE SAN ÁNGEL,47660
MAGDALENA,SALAMINA,47675
MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA,47692
MAGDALENA,SAN ZENÓN,47703
MAGDALENA,SANTA ANA,47707
